thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A1",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/concurrency/coactivity.cls",".",
"T1","A2",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/doers.cls",".",
"T1","A3",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/functionals.cls",".",
"T1","A4",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/concurrency/generator.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>","1","*-*",".local[""NOVALUE""] = .GlobalVariable","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>",".",">E>",".LOCAL => ""The Local Directory""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>",".",">E>",".GLOBALVARIABLE => ""The GlobalVariable class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>",".",">A>","""The GlobalVariable class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>",".",">L>","""NOVALUE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A5",".",".",".","routine",".","<prolog>",".",">A>","""NOVALUE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A6",".",".",".","routine",".","<prolog>",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A6",".",".",".","routine",".","<prolog>","1","*-*",".indeterminate~initialize","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A6",".",".",".","routine",".","<prolog>",".",">E>",".INDETERMINATE => ""The indeterminate class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1",".",".","method","indeterminate","INITIALIZE",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE","14","*-*","self~value = self~new(""The indeterminate value"")","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">V>","SELF => ""The indeterminate class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">V>","SELF => ""The indeterminate class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">L>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">A>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2",".",".","method","indeterminate","INIT",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT","23","*-*","use strict arg objectName","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT",".",">>>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT",".",">=>","OBJECTNAME <= ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT","24","*-*","self~objectName = objectName","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT",".",">V>","SELF => ""an indeterminate""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT",".",">V>","OBJECTNAME => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A8","V2","00001","*","method","indeterminate","INIT",".",">A>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">M>","""NEW"" => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">A>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">>>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE","20","*-*",".GlobalVariable~declare(""INDETERMINATE"", self~value)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">E>",".GLOBALVARIABLE => ""The GlobalVariable class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">L>","""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">A>","""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">V>","SELF => ""The indeterminate class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">M>","""VALUE"" => ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A7","V1","00001","*","method","indeterminate","INITIALIZE",".",">A>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/indeterminate.cls",".",
"T1","A9","V3",".",".","method","GlobalVariable","DECLARE",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE","16","*-*","expose values","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE","17","*-*","use strict arg name, value","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">>>","""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">=>","NAME <= ""INDETERMINATE""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">>>","""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
"T1","A9","V3","00001","*","method","GlobalVariable","DECLARE",".",">=>","VALUE <= ""The indeterminate value""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/novalue.cls",".",
