thread,activation,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A1","*","method","The COROUTINE class","INIT","      ",">I>","Method INIT with scope ""The COROUTINE class"" in package D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A1","*","method","The COROUTINE class","INIT","    61","*-*","self~table = .IdentityTable~new","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A1","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A1","*","method","The COROUTINE class","INIT","      ",">E>","  .IDENTITYTABLE => ""The IdentityTable class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A1","*","method","The COROUTINE class","INIT","      ",">M>","  ""NEW"" => ""an IdentityTable""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A1","*","method","The COROUTINE class","INIT","      ",">A>","  ""an IdentityTable""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A1","*","method","The COROUTINE class","INIT","      ",">>>","  ""an IdentityTable""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A2"," ","routine","","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","      ",">I>","Routine D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls in package D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
".",".",".",".",".",".",".",".",".",".","A coroutine implemented by a one-liner routine"
"T1","A3","*","method","The COROUTINE class","INIT","      ",">I>","Method INIT with scope ""The COROUTINE class"" in package D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    83","*-*","use strict arg action=""main"", ...","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""say ""running coroutine"" ; return 1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">=>","  ACTION <= ""say ""running coroutine"" ; return 1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    85","*-*","self~routine = .nil","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">E>","  .NIL => ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    86","*-*","self~message = .nil","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">E>","  .NIL => ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    87","*-*","self~doer = .nil","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">E>","  .NIL => ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
